No,City,Province,Average Price,Median Price,Ration of dealing/listing,"Newlisting
(Last 28 days)","Homesold
(Last 28 days)",DOM,"reference
Date",reference,Type
1,King, ,1200,1300,95%,93,32,59,,,
2,Mono,ON,999,980,100%,41,20,12,,,
3,Richmond Hill,ON,943,864,97%,426,168,29,,,
4,Oakville,ON,1900,836,96%,537,191,30,,,
5,Caledon,ON,902,864,96%,127,62,29,,,
6,Vaughan,ON,895,830,97%,614,254,28,,,
7,Whitchurch-Stouffville,ON,932,864,96%,93,43,36,,,
8,Aurora,ON,821,752,99%,173,76,32,,,
9,Markham,ON,849,803,97%,483,237,28,,,
10,Toronto,ON,874,685,100%,3979,2411,20,,,
11,Uxbridge,ON,749,695,98%,49,20,45,,,
12,Newmarket,ON,685,662,97%,193,82,25,,,
13,East Gwillimbury,ON,823,724,96%,89,32,38,,,
14,Pickering,ON,753,645,97%,135,87,27,,,
15,Milton,ON,697,695,98%,274,114,24,,,
16,Brampton,ON,679,655,98%,902,571,26,,,
17,Halton Hills,ON,778,685,97%,114,55,29,,,
18,Mississauga,ON,725,640,97%,931,551,24,,,
19,Ajax,ON,623,610,98%,185,106,21,,,
20,Bradford West Gwillimbury,ON,739,672,95%,110,58,37,,,
21,Georgina,ON,1000,542,172%,123,49,34,,,
22,New Tecumseth,ON,551,563,98%,97,42,40,,,
23,Orangeville,ON,535,515,98%,58,61,30,,,
24,Hamilton,ON,562,na,96%,787,263,36,,,
25,Barrie,ON,461,na,97%,515,162,35,,,
26,London,ON,443,na,100%,1053,40,13,,,
27,burlignton,ON,na,na,na,na,na,na,,,
28,calgary,AB,433,397,95%,1779,1073,48,,,
29,irricana,AB,273,273,97%,5,1,57,,,
30,Chestermere,AB,525,526,90%,35,19,39,,,
31,Crossfield,AB,347,340,98%,9,3,44,,,
32,COCHRANE,AB,407,410,95%,84,39,46,,,
33,Airdrie,AB,354,358,97%,127,64,49,,,
34,Edmonton,AB,379,346,99%,1672,427,51,,,
35,St Albert,AB,439,400,97%,131,41,50,,,
36,Sherwood Park,AB,393,390,97%,93,27,44,,,
37,Stony Plain,AB,352,340,97%,38,15,52,,,
38,Leduc,AB,331,313,97%,72,20,56,,,
39,Bruderheim,AB,242,242,na,na,na,na,,,
40,Fort Saskatchewan,AB,324,334,98%,62,14,65,,,
41,Wabamun,AB,320,320,84%,2,1,108,,,
42,Spruce Grove,AB,375,315,98%,86,20,48,,,
43,Calmar,AB,325,345,97%,6,1,0,,,
44,Morinville,AB,348,364,97%,25,12,61,,,
45,Devon,AB,375,354,98%,10,1,56,,,
46,Gibbons,AB,343,343,93%,14,1,91,,,
47,Redwater,AB,237,180,100%,10,1,35,,,
48,Legal,AB,163,163,93%,7,1,19,,,
49,Warburg,AB,123,123,93%,1,1,20,,,
50,Thorsby,AB,175,175,95%,7,1,62,,,
51,rural-rocky,AB,na,na,na,na,na,na,,,
52,West Vancouver,BC,3200,2700,92%,122,30,36,,,
53,Vancouver,BC,1100,797,95%,967,378,29,,,
54,North Vancouver,BC,1000,829,96%,257,115,29,,,
55,Delta,BC,904,889,94%,154,64,32,,,
56,Richmond,BC,968,776,93%,393,116,33,,,
57,Burnaby,BC,893,700,95%,353,150,35,,,
58,Coquitlam,BC,902,742,97%,224,93,35,,,
59,White Rock,BC,962,1100,90%,53,16,34,,,
60,Langley,BC,683,562,97%,344,166,32,,,
61,Surrey,BC,738,563,96%,921,366,31,,,
62,Pitt Meadows,BC,550,610,97%,33,12,35,,,
63,Port Coquitlam,BC,602,620,98%,115,53,21,,,
64,Maple Ridge,BC,691,700,97%,187,72,24,,,
65,Port Moody,BC,876,593,95%,56,24,30,,,
66,New Westminster,BC,674,445,97%,141,66,24,,,
67,Tsawwassen,BC,816,962,98%,1,1,70,,,
68,Bowen Island,BC,1400,1400,97%,2,3,31,,,
69,Anmore,BC,1100,1100,NA,na,na,na,,,
70,Abbotsford,BC,555,na,97%,246,93,31,,,
